318643200	363
400204800	307
400204800	325
400204800	365
400204800	325
400204800	302
405648000	260
406252800	271
407030400	241
411004800	163
412214400	220
414374400	142
414374400	204
416016000	205
420940800	236
421891200	267
423100800	412
423964800	357
427507200	400
427593600	391
429926400	463
431136000	489
433641600	441
436060800	408
437184000	383
438998400	368
440467200	273
440899200	277
442454400	229
444441600	158
446169600	159
446860800	156
449193600	166
451180800	208
451872000	208
453600000	290
454204800	232
457315200	344
457574400	274
458179200	256
459043200	305
461203200	332
462585600	330
464313600	333
464313600	398
466214400	346
466214400	356
466732800	351
469152000	283
469152000	265
469929600	366
470016000	319
470534400	277
470534400	272
471052800	231
474076800	166
474768000	283
474854400	134
475372800	168
475372800	145
475459200	163
475977600	129
476496000	131
476496000	137
477187200	126
477273600	124
478224000	135
480643200	111
480816000	151
480902400	205
482457600	182
482630400	195
482630400	172
484358400	203
484358400	217
486950400	264
486950400	244
487382400	246
487382400	266
488419200	279
488419200	267
490838400	308
490838400	365
491443200	316
491443200	312
492307200	319
492393600	303
494553600	362
496540800	348
497059200	342
497664000	340
499564800	330
500515200	298
501292800	316
502070400	255
503193600	239
504144000	215
507513600	145
508032000	227
508464000	144
509155200	150
510537600	113
510796800	152
511401600	192
512092800	189
512870400	169
513561600	171
514166400	211
514684800	229
517276800	238
517622400	270
517708800	242
518140800	285
519436800	251
519868800	265
521164800	311
521251200	291
522028800	285
522547200	309
522979200	294
524188800	328
525398400	310
526694400	318
527472000	348
528336000	321
529027200	340
529632000	307
530150400	328
532051200	300
532656000	272
533174400	309
534384000	244
535161600	217
535161600	190
535593600	214
537062400	225
537580800	175
538012800	187
538963200	145
539308800	137
540777600	137
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
